"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"GZMK",0.822,1.06941254083759,0.644,1.06941254083759,0.94,0.84,"0","GZMK","0"
"TGFB1",0.784,0.775525501669025,0.568,0.775525501669024,0.978,0.899,"0","TGFB1","0"
"CD8A",0.771,0.933729096528882,0.542,0.933729096528882,0.895,0.787,"0","CD8A","0"
"TUBA4A",0.748,0.647425469900015,0.496,0.647425469900008,0.969,0.893,"0","TUBA4A","0"
"DUSP2",0.748,0.587217140780067,0.496,0.587217140780071,0.966,0.89,"0","DUSP2","0"
"ZEB2",0.737,0.678886803988217,0.474,0.678886803988214,0.916,0.822,"0","ZEB2","0"
"GAPDH",0.723,0.475828150068402,0.446,0.475828150068401,0.997,0.971,"0","GAPDH","0"
"LDHA",0.717,0.559997074789389,0.434,0.559997074789384,0.97,0.918,"0","LDHA","0"
"AKNA",0.715,0.600950084766177,0.43,0.600950084766175,0.886,0.753,"0","AKNA","0"
"HLA-A",0.715,0.294273596837916,0.43,0.294273596837919,1,0.993,"0","HLA-A","0"
"VIM",0.705,0.509145810622246,0.41,0.509145810622247,0.998,0.984,"0","VIM","0"
"CXCR4",0.702,0.45357968772307,0.404,0.453579687723074,0.987,0.949,"0","CXCR4","0"
"CXCR3",0.701,0.590421551339659,0.402,0.590421551339655,0.854,0.799,"0","CXCR3","0"
"FTH1",0.706,0.704654560287139,0.412,0.704654560287146,0.999,0.985,"1","FTH1","1"
"CCL20",0.827,2.7598392644362,0.654,2.7598392644362,0.882,0.773,"2","CCL20","2"
"IL7R",0.747,0.693541432249729,0.494,0.693541432249726,0.958,0.893,"2","IL7R","2"
"CD40LG",0.742,0.994086867048543,0.484,0.994086867048543,0.793,0.669,"2","CD40LG","2"
"IL2",0.736,1.48270684848794,0.472,1.48270684848794,0.784,0.757,"2","IL2","2"
"TNFAIP8",0.712,0.72498471929652,0.424,0.724984719296522,0.924,0.88,"2","TNFAIP8","2"
"RORA",0.701,0.735279087136545,0.402,0.735279087136547,0.757,0.457,"2","RORA","2"
"CCL51",0.723,0.53831493490364,0.446,0.538314934903643,0.989,0.946,"3","CCL5","3"
"TNFSF9",0.771,1.3425724695137,0.542,1.3425724695137,0.846,0.739,"4","TNFSF9","4"
"HSPA6",0.763,1.15446618561033,0.526,1.15446618561033,0.914,0.804,"4","HSPA6","4"
"UBE2S",0.754,0.874370530527517,0.508,0.874370530527515,0.933,0.837,"4","UBE2S","4"
"UBB",0.745,0.652155181278721,0.49,0.652155181278725,0.991,0.953,"4","UBB","4"
"ZFAND2A",0.731,1.01544051916996,0.462,1.01544051916997,0.867,0.753,"4","ZFAND2A","4"
"NEU1",0.717,0.812239783242561,0.434,0.812239783242559,0.915,0.869,"4","NEU1","4"
"CCL4L2",0.712,1.38009419693855,0.424,1.38009419693855,0.814,0.762,"4","CCL4L2","4"
"MALAT1",0.766,0.616683207887961,0.532,0.616683207887966,1,1,"5","MALAT1","5"
"ZC2HC1A",0.891,1.05303018324905,0.782,1.05303018324905,0.9,0.645,"6","ZC2HC1A","6"
"IL2RA",0.876,1.63211317227224,0.752,1.63211317227224,0.912,0.679,"6","IL2RA","6"
"BATF",0.874,1.5558606195493,0.748,1.5558606195493,0.955,0.767,"6","BATF","6"
"C15orf53",0.872,0.510940625071934,0.744,0.510940625071934,0.863,0.513,"6","C15orf53","6"
"CTLA4",0.855,1.41928727784779,0.71,1.41928727784779,0.902,0.619,"6","CTLA4","6"
"INPP5F",0.821,0.56939823611668,0.642,0.569398236116681,0.837,0.568,"6","INPP5F","6"
"EPSTI1",0.819,0.969961798155597,0.638,0.969961798155597,0.926,0.705,"6","EPSTI1","6"
"CARD16",0.817,1.25337524127949,0.634,1.25337524127949,0.897,0.68,"6","CARD16","6"
"UTS2",0.816,0.366323619283225,0.632,0.366323619283224,0.879,0.649,"6","UTS2","6"
"TIGIT",0.811,1.17215501597264,0.622,1.17215501597264,0.915,0.728,"6","TIGIT","6"
"CCDC141",0.808,0.395143596060031,0.616,0.395143596060031,0.819,0.5,"6","CCDC141","6"
"TNFRSF41",0.807,1.40463185744712,0.614,1.40463185744712,0.935,0.822,"6","TNFRSF4","6"
"GRAMD4",0.807,0.255927936320361,0.614,0.255927936320362,0.84,0.494,"6","GRAMD4","6"
"ENTPD1",0.802,0.617378399180803,0.604,0.617378399180803,0.835,0.621,"6","ENTPD1","6"
"ATP13A3",0.798,0.666999209913555,0.596,0.666999209913554,0.906,0.688,"6","ATP13A3","6"
"FOXP3",0.797,1.22824858325052,0.594,1.22824858325052,0.791,0.604,"6","FOXP3","6"
"IL6R",0.797,0.345597352628684,0.594,0.345597352628685,0.885,0.693,"6","IL6R","6"
"IL1R2",0.795,0.697762058165895,0.59,0.697762058165896,0.755,0.354,"6","IL1R2","6"
"NSF",0.793,0.341728211799119,0.586,0.341728211799118,0.843,0.562,"6","NSF","6"
"IRS2",0.791,0.741164451886896,0.582,0.741164451886897,0.875,0.609,"6","IRS2","6"
"PEX3",0.79,0.409637579293089,0.58,0.409637579293088,0.823,0.569,"6","PEX3","6"
"KLHL2",0.788,0.325452384331369,0.576,0.325452384331369,0.838,0.609,"6","KLHL2","6"
"DAPP1",0.786,0.565866343490738,0.572,0.565866343490739,0.839,0.646,"6","DAPP1","6"
"MAP3K1",0.786,0.471927617229623,0.572,0.471927617229625,0.871,0.599,"6","MAP3K1","6"
"SETDB2",0.784,0.409242349615368,0.568,0.409242349615369,0.819,0.476,"6","SETDB2","6"
"PHACTR2",0.78,1.00145987513902,0.56,1.00145987513902,0.903,0.745,"6","PHACTR2","6"
"GBP2",0.78,0.925665779470853,0.56,0.925665779470854,0.94,0.768,"6","GBP2","6"
"GCNT1",0.779,0.672872016527311,0.558,0.672872016527311,0.822,0.6,"6","GCNT1","6"
"CTTNBP2NL",0.777,0.351661743251096,0.554,0.351661743251097,0.76,0.455,"6","CTTNBP2NL","6"
"CNIH1",0.775,0.866111500261657,0.55,0.866111500261658,0.918,0.732,"6","CNIH1","6"
"CCR6",0.775,0.761263139064976,0.55,0.761263139064976,0.868,0.688,"6","CCR6","6"
"DNPH1",0.775,0.666987206988846,0.55,0.666987206988846,0.838,0.58,"6","DNPH1","6"
"TP53INP1",0.773,0.436544696769175,0.546,0.436544696769174,0.84,0.57,"6","TP53INP1","6"
"CD27",0.772,0.851317683874587,0.544,0.851317683874589,0.873,0.621,"6","CD27","6"
"GRSF1",0.772,0.537105983679779,0.544,0.53710598367978,0.866,0.573,"6","GRSF1","6"
"UBE2J1",0.77,0.342375458711008,0.54,0.342375458711007,0.914,0.673,"6","UBE2J1","6"
"TRIM69",0.766,0.415461478080347,0.532,0.415461478080347,0.857,0.619,"6","TRIM69","6"
"TMEM65",0.765,0.255811918663113,0.53,0.255811918663114,0.844,0.631,"6","TMEM65","6"
"CXCR6",0.764,0.823826788085322,0.528,0.823826788085323,0.899,0.675,"6","CXCR6","6"
"SESN31",0.762,0.702091760855504,0.524,0.702091760855505,0.876,0.65,"6","SESN3","6"
"BARD1",0.762,0.279364905311932,0.524,0.279364905311933,0.813,0.541,"6","BARD1","6"
"DUSP4",0.76,1.06683022174417,0.52,1.06683022174417,0.931,0.761,"6","DUSP4","6"
"STAM",0.759,0.842421300266774,0.518,0.842421300266775,0.864,0.721,"6","STAM","6"
"F5",0.759,0.550357488629365,0.518,0.550357488629365,0.748,0.467,"6","F5","6"
"CUL9",0.758,0.460968511994959,0.516,0.460968511994958,0.755,0.492,"6","CUL9","6"
"S100A41",0.757,0.79190996497812,0.514,0.791909964978112,0.969,0.856,"6","S100A4","6"
"MED8",0.756,0.255957394045189,0.512,0.255957394045189,0.875,0.602,"6","MED8","6"
"CCDC50",0.755,0.525697137419933,0.51,0.525697137419933,0.84,0.611,"6","CCDC50","6"
"CCR8",0.755,0.384077316162699,0.51,0.384077316162699,0.727,0.464,"6","CCR8","6"
"JAK3",0.755,0.367013375898491,0.51,0.367013375898492,0.892,0.604,"6","JAK3","6"
"ACOT9",0.754,0.725446477069102,0.508,0.725446477069103,0.784,0.554,"6","ACOT9","6"
"ATG3",0.754,0.438339776852972,0.508,0.438339776852971,0.881,0.637,"6","ATG3","6"
"CEP120",0.754,0.329179083084898,0.508,0.329179083084899,0.804,0.599,"6","CEP120","6"
"TYMP",0.753,0.913013279890118,0.506,0.913013279890116,0.895,0.726,"6","TYMP","6"
"SPOCK2",0.752,0.73422384508332,0.504,0.734223845083324,0.965,0.859,"6","SPOCK2","6"
"CCNG2",0.752,0.493290142402014,0.504,0.493290142402015,0.787,0.51,"6","CCNG2","6"
"C17orf67",0.751,0.341535072557851,0.502,0.34153507255785,0.874,0.66,"6","C17orf67","6"
"NUSAP1",0.75,0.320303457112117,0.5,0.320303457112116,0.853,0.692,"6","NUSAP1","6"
"UGP2",0.749,0.844007962994728,0.498,0.844007962994728,0.883,0.666,"6","UGP2","6"
"THADA",0.749,0.751497959236395,0.498,0.751497959236396,0.783,0.582,"6","THADA","6"
"MIR4435-2HG",0.748,0.938796399201631,0.496,0.938796399201634,0.884,0.78,"6","MIR4435-2HG","6"
"HTATIP2",0.748,0.850142423713033,0.496,0.850142423713032,0.815,0.669,"6","HTATIP2","6"
"UBE2K",0.746,0.680964609001325,0.492,0.680964609001323,0.922,0.69,"6","UBE2K","6"
"MINDY2",0.746,0.291392376558083,0.492,0.291392376558082,0.841,0.575,"6","MINDY2","6"
"TBC1D4",0.745,0.993576635589285,0.49,0.993576635589285,0.8,0.64,"6","TBC1D4","6"
"GK1",0.745,0.944746451588952,0.49,0.944746451588951,0.791,0.652,"6","GK","6"
"LINC02099",0.745,0.455413466920584,0.49,0.455413466920584,0.705,0.457,"6","LINC02099","6"
"ARHGEF12",0.745,0.34343515142021,0.49,0.34343515142021,0.82,0.608,"6","ARHGEF12","6"
"SETD7",0.745,0.31303591080394,0.49,0.31303591080394,0.774,0.593,"6","SETD7","6"
"MFHAS11",0.743,0.428266805924067,0.486,0.428266805924064,0.921,0.76,"6","MFHAS1","6"
"TNFRSF9",0.742,0.949860447853049,0.484,0.949860447853047,0.869,0.759,"6","TNFRSF9","6"
"EHMT1",0.74,0.33505517286784,0.48,0.335055172867839,0.781,0.446,"6","EHMT1","6"
"LGALS9",0.74,0.250403064182298,0.48,0.250403064182298,0.772,0.507,"6","LGALS9","6"
"CLIP1",0.737,0.585288639982364,0.474,0.585288639982364,0.882,0.681,"6","CLIP1","6"
"PKIA",0.736,0.475334036061388,0.472,0.475334036061388,0.809,0.639,"6","PKIA","6"
"ZNRF1",0.736,0.443722391403281,0.472,0.443722391403281,0.798,0.512,"6","ZNRF1","6"
"CACYBP1",0.735,0.746072898514498,0.47,0.746072898514501,0.995,0.95,"6","CACYBP","6"
"SNAP23",0.732,0.479555599252988,0.464,0.47955559925299,0.946,0.814,"6","SNAP23","6"
"NPTN",0.732,0.310762364237648,0.464,0.310762364237647,0.81,0.601,"6","NPTN","6"
"TRBC1",0.731,1.10867163397362,0.462,1.10867163397362,0.903,0.663,"6","TRBC1","6"
"RHBDD2",0.731,0.726013301012855,0.462,0.726013301012853,0.904,0.758,"6","RHBDD2","6"
"RNF145",0.73,0.656318144401936,0.46,0.656318144401935,0.902,0.761,"6","RNF145","6"
"YIPF6",0.73,0.495881944063091,0.46,0.495881944063091,0.839,0.692,"6","YIPF6","6"
"NETO2",0.728,0.474153543549681,0.456,0.474153543549682,0.778,0.647,"6","NETO2","6"
"BEX3",0.726,0.324792154174947,0.452,0.324792154174947,0.75,0.471,"6","BEX3","6"
"SNX9",0.725,0.615637835764373,0.45,0.615637835764372,0.856,0.688,"6","SNX9","6"
"RANBP9",0.725,0.352946777131363,0.45,0.352946777131362,0.827,0.583,"6","RANBP9","6"
"CDR2",0.724,0.36361777156323,0.448,0.363617771563235,0.88,0.664,"6","CDR2","6"
"EGLN1",0.724,0.330387629135348,0.448,0.330387629135347,0.772,0.522,"6","EGLN1","6"
"DGKE",0.724,0.322023529401134,0.448,0.322023529401132,0.849,0.613,"6","DGKE","6"
"MFF",0.721,0.252614600549937,0.442,0.252614600549937,0.789,0.504,"6","MFF","6"
"SELL",0.72,0.700647124269424,0.44,0.700647124269422,0.776,0.582,"6","SELL","6"
"PTPN1",0.72,0.60503812393528,0.44,0.605038123935278,0.95,0.814,"6","PTPN1","6"
"DYNC1I2",0.72,0.523205074545615,0.44,0.523205074545617,0.837,0.601,"6","DYNC1I2","6"
"NAMPT",0.719,0.679506665985508,0.438,0.679506665985513,0.906,0.796,"6","NAMPT","6"
"ZBTB38",0.719,0.638595489140704,0.438,0.638595489140706,0.894,0.746,"6","ZBTB38","6"
"FANK1",0.719,0.590125322321564,0.438,0.590125322321564,0.688,0.406,"6","FANK1","6"
"ZBTB32",0.719,0.476446543974762,0.438,0.476446543974762,0.762,0.66,"6","ZBTB32","6"
"CHST11",0.719,0.28215062230762,0.438,0.282150622307621,0.862,0.607,"6","CHST11","6"
"PHLDA2",0.718,0.320161974794405,0.436,0.320161974794404,0.819,0.611,"6","PHLDA2","6"
"SGMS1",0.716,0.387025572531147,0.432,0.387025572531148,0.792,0.579,"6","SGMS1","6"
"AC026979.2",0.715,0.277098630626445,0.43,0.277098630626446,0.822,0.53,"6","AC026979.2","6"
"YWHAB",0.714,0.590868511333148,0.428,0.590868511333148,0.973,0.911,"6","YWHAB","6"
"IGFLR1",0.714,0.318870327968648,0.428,0.318870327968648,0.768,0.591,"6","IGFLR1","6"
"UBE2B",0.712,0.592826972995699,0.424,0.5928269729957,0.976,0.925,"6","UBE2B","6"
"RANGAP1",0.712,0.471771508489633,0.424,0.471771508489637,0.942,0.795,"6","RANGAP1","6"
"TPP1",0.712,0.389089536496524,0.424,0.389089536496525,0.863,0.662,"6","TPP1","6"
"CD320",0.712,0.257842661558807,0.424,0.257842661558808,0.727,0.428,"6","CD320","6"
"ZC3H12D",0.711,0.595471304279181,0.422,0.595471304279183,0.875,0.791,"6","ZC3H12D","6"
"AHSA1",0.71,0.61307295648944,0.42,0.613072956489438,0.963,0.852,"6","AHSA1","6"
"GBP5",0.709,0.623965604274655,0.418,0.623965604274657,0.848,0.657,"6","GBP5","6"
"RBBP8",0.709,0.378494283969104,0.418,0.378494283969102,0.784,0.613,"6","RBBP8","6"
"SQOR",0.709,0.250991463587356,0.418,0.250991463587356,0.812,0.591,"6","SQOR","6"
"PPP1R2",0.708,0.734782463982155,0.416,0.734782463982152,0.945,0.846,"6","PPP1R2","6"
"ATP5MC2",0.707,0.621259678110624,0.414,0.621259678110623,0.953,0.799,"6","ATP5MC2","6"
"PSAP",0.707,0.407150825600387,0.414,0.407150825600387,0.863,0.616,"6","PSAP","6"
"ZNF292",0.705,0.659793659378601,0.41,0.659793659378602,0.871,0.709,"6","ZNF292","6"
"RYBP",0.703,0.585893989305156,0.406,0.585893989305155,0.899,0.771,"6","RYBP","6"
"DUSP16",0.702,0.671066524887946,0.404,0.671066524887947,0.75,0.537,"6","DUSP16","6"
"IL32",0.706,0.660194911745373,0.412,0.660194911745374,0.934,0.765,"6","IL32","6"
"KLRD11",0.956,2.02261005490677,0.912,2.02261005490677,0.989,0.614,"7","KLRD1","7"
"TYROBP",0.907,1.60136771058548,0.814,1.60136771058548,0.921,0.523,"7","TYROBP","7"
"KLRC11",0.891,1.46476569331081,0.782,1.46476569331081,0.918,0.619,"7","KLRC1","7"
"XCL21",0.879,1.49095703061122,0.758,1.49095703061122,0.95,0.701,"7","XCL2","7"
"LYN",0.878,0.75252866714821,0.756,0.75252866714821,0.893,0.599,"7","LYN","7"
"KLRC2",0.865,0.82643171164374,0.73,0.82643171164374,0.887,0.568,"7","KLRC2","7"
"GAS7",0.865,0.579738056587474,0.73,0.579738056587474,0.868,0.482,"7","GAS7","7"
"CTSW",0.864,1.20061181722037,0.728,1.20061181722036,0.937,0.624,"7","CTSW","7"
"ITGAX",0.858,0.523851508467292,0.716,0.523851508467293,0.864,0.522,"7","ITGAX","7"
"NKG71",0.853,1.22524536414574,0.706,1.22524536414573,0.989,0.878,"7","NKG7","7"
"HVCN1",0.852,0.376364920228686,0.704,0.376364920228686,0.855,0.511,"7","HVCN1","7"
"KLRF1",0.851,0.745252781949386,0.702,0.745252781949386,0.85,0.511,"7","KLRF1","7"
"GZMB1",0.848,1.29664848234051,0.696,1.29664848234052,0.927,0.712,"7","GZMB","7"
"FCGR3A",0.847,0.589903376408107,0.694,0.589903376408108,0.909,0.684,"7","FCGR3A","7"
"LINC00996",0.847,0.526525166738311,0.694,0.526525166738311,0.841,0.488,"7","LINC00996","7"
"P2RX5",0.847,0.393191829950572,0.694,0.393191829950572,0.884,0.542,"7","P2RX5","7"
"CD160",0.843,0.516708313469024,0.686,0.516708313469024,0.857,0.511,"7","CD160","7"
"AXIN1",0.843,0.502773845930956,0.686,0.502773845930956,0.884,0.523,"7","AXIN1","7"
"SLC15A4",0.831,0.454742836872972,0.662,0.454742836872971,0.898,0.63,"7","SLC15A4","7"
"CLIC3",0.828,1.19154392769437,0.656,1.19154392769437,0.914,0.709,"7","CLIC3","7"
"RRAD",0.828,0.502098312952905,0.656,0.502098312952905,0.905,0.758,"7","RRAD","7"
"GIT1",0.826,0.350344274036897,0.652,0.350344274036898,0.914,0.634,"7","GIT1","7"
"GNLY1",0.822,2.16029415166629,0.644,2.16029415166629,0.871,0.682,"7","GNLY","7"
"IFITM2",0.818,0.91732158032879,0.636,0.917321580328789,0.968,0.783,"7","IFITM2","7"
"LAT2",0.817,0.830832782187754,0.634,0.830832782187754,0.816,0.442,"7","LAT2","7"
"BCL6",0.817,0.32878534125428,0.634,0.328785341254281,0.905,0.571,"7","BCL6","7"
"BLVRB",0.816,0.432618379768441,0.632,0.432618379768442,0.952,0.807,"7","BLVRB","7"
"SLC35A3",0.815,0.399341396906245,0.63,0.399341396906244,0.939,0.618,"7","SLC35A3","7"
"TRDC",0.805,0.971066304431442,0.61,0.971066304431442,0.796,0.269,"7","TRDC","7"
"MATK",0.804,0.887264979635201,0.608,0.8872649796352,0.866,0.637,"7","MATK","7"
"SMAD3",0.804,0.318855615413871,0.608,0.318855615413872,0.943,0.693,"7","SMAD3","7"
"CMC1",0.803,0.979154993210466,0.606,0.979154993210466,0.925,0.761,"7","CMC1","7"
"PRR5L",0.802,0.355607065780574,0.604,0.355607065780574,0.912,0.689,"7","PRR5L","7"
"RAB29",0.799,0.51268990207316,0.598,0.512689902073159,0.943,0.678,"7","RAB29","7"
"ATP1B1",0.799,0.36507821551974,0.598,0.365078215519741,0.921,0.661,"7","ATP1B1","7"
"B4GALT5",0.795,0.274053166687344,0.59,0.274053166687345,0.95,0.738,"7","B4GALT5","7"
"ANXA11",0.789,0.782047839131766,0.578,0.782047839131768,0.952,0.705,"7","ANXA11","7"
"DAAM1",0.787,0.410834587497518,0.574,0.410834587497517,0.952,0.788,"7","DAAM1","7"
"EI24",0.786,0.390036567362358,0.572,0.390036567362358,0.896,0.592,"7","EI24","7"
"C1orf21",0.783,0.416788927206229,0.566,0.416788927206227,0.9,0.749,"7","C1orf21","7"
"SERPINE2",0.782,0.476622367781784,0.564,0.476622367781784,0.816,0.613,"7","SERPINE2","7"
"HMGXB4",0.782,0.25556241311255,0.564,0.255562413112549,0.918,0.596,"7","HMGXB4","7"
"SH2D1B",0.778,0.709515513177737,0.556,0.709515513177737,0.769,0.452,"7","SH2D1B","7"
"PLEK",0.778,0.366785030851069,0.556,0.366785030851068,0.93,0.762,"7","PLEK","7"
"NRAS",0.778,0.250478477526046,0.556,0.250478477526045,0.921,0.671,"7","NRAS","7"
"ABCB1",0.777,0.473278095111526,0.554,0.473278095111527,0.941,0.771,"7","ABCB1","7"
"BID",0.774,0.449867480328279,0.548,0.449867480328281,0.918,0.683,"7","BID","7"
"UBE2F",0.774,0.44124689283535,0.548,0.44124689283535,0.882,0.676,"7","UBE2F","7"
"METRNL2",0.772,0.735100630675156,0.544,0.735100630675154,0.986,0.895,"7","METRNL","7"
"SPON2",0.772,0.296408358346282,0.544,0.296408358346282,0.837,0.535,"7","SPON2","7"
"HES6",0.77,0.273161551966037,0.54,0.273161551966036,0.83,0.654,"7","HES6","7"
"ABHD2",0.768,0.421723178881033,0.536,0.421723178881033,0.823,0.568,"7","ABHD2","7"
"ZBTB44",0.768,0.292887130257381,0.536,0.292887130257379,0.898,0.526,"7","ZBTB44","7"
"APOBEC3G1",0.766,0.691502657043173,0.532,0.691502657043174,0.995,0.912,"7","APOBEC3G","7"
"GNGT2",0.766,0.300079940407589,0.532,0.300079940407589,0.807,0.558,"7","GNGT2","7"
"GALNT11",0.766,0.295484062775243,0.532,0.295484062775245,0.912,0.644,"7","GALNT11","7"
"IGFBP2",0.76,0.303223396206352,0.52,0.303223396206352,0.76,0.514,"7","IGFBP2","7"
"HAVCR2",0.759,0.518087540595747,0.518,0.518087540595747,0.794,0.558,"7","HAVCR2","7"
"CD300A",0.758,0.550830279191795,0.516,0.550830279191794,0.83,0.669,"7","CD300A","7"
"GZMH",0.758,0.436846682737676,0.516,0.436846682737676,0.941,0.79,"7","GZMH","7"
"HOPX",0.757,0.682528146547423,0.514,0.682528146547421,0.844,0.694,"7","HOPX","7"
"PRKX",0.757,0.606252374137547,0.514,0.606252374137552,0.941,0.75,"7","PRKX","7"
"LRMP",0.756,0.291808734767338,0.512,0.291808734767337,0.927,0.727,"7","LRMP","7"
"GMCL1",0.755,0.38682794325508,0.51,0.386827943255082,0.9,0.654,"7","GMCL1","7"
"C19orf24",0.753,0.374782694888488,0.506,0.374782694888486,0.871,0.588,"7","C19orf24","7"
"DGKZ",0.752,0.596100945603086,0.504,0.596100945603085,0.864,0.547,"7","DGKZ","7"
"COMT",0.75,0.269727928086859,0.5,0.26972792808686,0.766,0.429,"7","COMT","7"
"PLCG2",0.746,0.508165437677342,0.492,0.508165437677341,0.773,0.596,"7","PLCG2","7"
"MAP2K3",0.745,0.514836129270839,0.49,0.514836129270841,0.952,0.784,"7","MAP2K3","7"
"CD7",0.744,0.630449916681637,0.488,0.630449916681635,0.93,0.725,"7","CD7","7"
"IL2RB",0.743,0.548380456519546,0.486,0.548380456519546,0.934,0.787,"7","IL2RB","7"
"CST71",0.742,0.647473845085071,0.484,0.647473845085067,0.986,0.886,"7","CST7","7"
"GFOD1",0.742,0.422113890753585,0.484,0.422113890753586,0.794,0.58,"7","GFOD1","7"
"SART1",0.741,0.266265758767482,0.482,0.266265758767481,0.823,0.565,"7","SART1","7"
"TRMO",0.739,0.306544347443203,0.478,0.306544347443205,0.891,0.667,"7","TRMO","7"
"SLA2",0.735,0.48645908172572,0.47,0.486459081725722,0.841,0.61,"7","SLA2","7"
"DFFA",0.735,0.283018514933148,0.47,0.283018514933148,0.837,0.598,"7","DFFA","7"
"EFCAB14",0.734,0.271495997315445,0.468,0.271495997315446,0.889,0.647,"7","EFCAB14","7"
"XAF1",0.728,0.352839336862264,0.456,0.352839336862263,0.83,0.563,"7","XAF1","7"
"LSM4",0.727,0.403461693584499,0.454,0.403461693584498,0.825,0.56,"7","LSM4","7"
"PTPN12",0.727,0.338473990005781,0.454,0.338473990005782,0.769,0.59,"7","PTPN12","7"
"CHST12",0.725,0.530466416365075,0.45,0.530466416365076,0.9,0.739,"7","CHST12","7"
"NDUFB7",0.725,0.327742926194949,0.45,0.327742926194947,0.896,0.644,"7","NDUFB7","7"
"CDC42SE1",0.723,0.599580644366265,0.446,0.599580644366264,0.971,0.836,"7","CDC42SE1","7"
"CHMP6",0.723,0.255900784251032,0.446,0.255900784251031,0.789,0.59,"7","CHMP6","7"
"SAMD3",0.722,0.395102312118743,0.444,0.395102312118743,0.9,0.741,"7","SAMD3","7"
"BIRC6",0.722,0.306305618145663,0.444,0.306305618145664,0.887,0.611,"7","BIRC6","7"
"PRF1",0.72,0.638123313771238,0.44,0.638123313771239,0.821,0.655,"7","PRF1","7"
"ADGRG3",0.72,0.525555210035427,0.44,0.525555210035428,0.683,0.243,"7","ADGRG3","7"
